input,person,block,layout,WPM,CER,UER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions
4KWatchWrite,1,1,5,3.444375342,0.083333333,0.027777778,32,1,1,1,2,soon we will return from the city,soon we will returnfrom the city,"[0.000458,cancel],[1.650574,s],[5.243500,o],[6.720337,o],[12.004639,n],[13.454529, ],[17.633484,w],[18.463898,e],[19.516785, ],[21.945557,w],[24.730408,i],[29.228119,l],[33.050659,l],[34.171448, ],[37.947418,r],[38.799500,e],[41.295776,t],[46.763245,cancel],[50.368988,u],[53.948944,r],[58.243500,n],[63.605835,f],[66.904419,r],[70.022125,o],[74.332367,m],[74.978607, ],[78.364197, ],[81.205597,del],[86.963501,t],[90.321777,h],[91.274078,e],[93.287079, ],[98.804749,c],[100.694061,i],[103.736572,t],[108.002167,y],[109.585693,done]"
4KWatchWrite,1,1,5,4.392450003,0,0,35,0,0,0,0,granite is the hardest of all rocks,granite is the hardest of all rocks,"[0.000031,g],[3.495972,r],[4.798340,a],[9.194122,n],[12.791412,i],[15.238708,t],[16.268738,e],[18.825409, ],[21.681213,i],[25.472290,s],[26.459351, ],[28.604828,t],[32.371643,h],[34.898499,e],[35.973785, ],[38.214111,h],[41.142670,a],[43.231079,r],[48.322357,d],[49.816223,e],[54.259766,s],[56.219086,t],[57.446564, ],[60.605591,o],[64.948486,f],[65.850342, ],[66.258728,a],[70.125275,l],[71.335938,l],[72.430786, ],[76.072571,r],[79.628235,o],[83.276093,c],[88.859833,k],[92.886658,s],[95.181946,done]"
4KWatchWrite,1,1,5,3.956465889,0.125,0,28,2,2,0,2,i do not care if you do that,i do not care if you do that,"[0.000031,i],[0.537994, ],[3.682983,d],[6.590363,o],[7.475616, ],[10.781036,n],[12.967072,o],[15.336945,t],[16.265228, ],[19.102722,c],[19.929718,a],[21.891449,r],[23.074951,e],[23.982880, ],[26.272827,cancel],[29.495667,i],[32.980713,f],[33.796631, ],[37.889496,y],[41.282379,o],[46.626129,cancel],[49.485840,u],[52.645111,d],[56.643402,o],[61.166412,del],[62.662445,del],[64.415649, ],[68.627960,d],[72.573456,o],[74.289246, ],[77.213806,t],[79.889740,h],[81.383118,a],[81.891266,t],[84.601715,done]"
4KWatchWrite,1,1,5,4.141674457,0,0,30,0,0,0,0,the chancellor was very boring,the chancellor was very boring,"[0.000031,t],[3.001068,h],[4.479919,e],[5.721252, ],[10.269226,c],[12.980438,h],[13.948730,a],[16.258270,n],[22.990723,c],[24.492340,e],[26.946350,l],[28.373199,l],[31.362335,o],[35.281586,r],[35.866180, ],[39.343048,w],[40.137909,a],[45.548737,s],[46.616425, ],[52.924866,v],[53.816284,e],[57.891510,r],[61.593018,y],[62.468872, ],[65.884003,b],[69.279938,o],[73.591278,r],[76.207031,i],[79.918518,n],[84.023987,g],[85.685944,done]"
4KWatchWrite,1,1,5,4.600306412,0.148148148,0,23,1,1,0,3,i will meet you at noon,i will meet you at noon,"[0.000061,i],[0.810089, ],[4.194977,w],[6.134064,i],[8.026245,l],[9.437347,l],[10.643494, ],[14.158875,m],[14.967590,e],[15.136230,e],[18.070129,t],[19.429932, ],[22.535431,y],[25.505005,o],[29.349121,cancel],[31.053894,u],[32.743774,a],[35.811554,del],[39.428192,cancel],[40.745483, ],[41.715790,a],[42.392700,t],[43.847321, ],[48.213623,cancel],[52.268860,n],[54.873016,o],[55.805542,o],[57.387482,n],[59.557098,done]"
4KWatchWrite,1,2,5,4.784596465,0.088235294,0,31,3,3,0,0,valid until the end of the year,valid until the end of the year,"[0.000031,v],[1.073303,a],[4.536163,l],[7.054352,i],[10.691345,d],[12.522491, ],[15.304169,u],[17.647125,t],[21.294556,i],[23.155792,l],[27.387909,del],[28.314636,del],[29.512909,del],[34.214081,n],[36.991852,t],[39.742157,i],[41.566345,l],[42.790741, ],[43.285278,t],[44.035767,h],[47.040100,e],[47.950470, ],[48.368622,e],[52.427704,n],[54.658630,d],[55.733337, ],[58.325897,o],[62.266602,f],[63.071869, ],[63.465942,t],[64.297424,h],[66.788544,e],[67.708801, ],[71.319305,y],[72.139191,e],[72.472504,a],[75.241455,r],[76.861267,done]"
4KWatchWrite,1,2,5,4.577772397,0.03125,0,31,0,0,0,1,a glance in the right direction,a glance in the right direction,"[0.000031,a],[0.727997, ],[4.720184,g],[7.832764,l],[8.710175,a],[11.475739,n],[15.355499,c],[15.922516,e],[17.029755, ],[19.770386,i],[23.498352,n],[24.559387, ],[26.886505,t],[27.772736,h],[29.700623,e],[31.007782, ],[34.417114,r],[38.070190,i],[42.375732,cancel],[45.598907,g],[49.952087,h],[52.077454,t],[53.684814, ],[56.335052,d],[59.323578,i],[63.696899,r],[65.672943,e],[69.215729,c],[71.081787,t],[73.372925,i],[76.371002,o],[78.640869,n],[81.586182,done]"
4KWatchWrite,1,2,5,5.153095381,0.055555556,0,34,0,0,0,2,that sticker needs to be validated,that sticker needs to be validated,"[0.000031,t],[0.774292,h],[1.803436,a],[2.199921,t],[3.008148, ],[7.549103,s],[8.683624,t],[11.267029,cancel],[14.609222,i],[18.847412,c],[23.027771,k],[23.912231,e],[27.223297,r],[30.551025, ],[33.379181,n],[34.324188,e],[34.688568,e],[38.530640,d],[43.247284,s],[44.120575, ],[44.603760,t],[46.705872,o],[47.751099, ],[52.549866,b],[54.148468,e],[54.565491, ],[58.903229,v],[59.973846,a],[61.224701,l],[64.116028,i],[67.922729,cancel],[71.197174,d],[72.468414,a],[72.914764,t],[73.412231,e],[76.847015,d],[78.412170,done]"
4KWatchWrite,1,2,5,3.380110668,0.076923077,0,36,3,3,0,0,dinosaurs have been extinct for ages,dinosaurs have been extinct for ages,"[0.001343,d],[3.589203,i],[7.387909,o],[12.004395,del],[15.775848,n],[18.696014,o],[21.690063,s],[22.802582,a],[26.133270,u],[31.017975,r],[36.602509,r],[38.110443, ],[41.135956,del],[42.233795,del],[46.379578,s],[48.050934, ],[51.314667,h],[52.527588,a],[57.215668,v],[60.662476,e],[61.385345, ],[65.735168,b],[66.675568,e],[67.040039,e],[69.898865,n],[74.195496, ],[77.345795,e],[82.479950,x],[84.877533,t],[87.944489,i],[91.687408,n],[95.183319,c],[98.010773,t],[99.032837, ],[102.651337,f],[105.817719,o],[110.475342,r],[111.482239, ],[112.097748,a],[116.793549,g],[119.060822,e],[124.256287,s],[125.769592,done]"
4KWatchWrite,1,2,5,5.079956131,0,0,29,0,0,0,0,lie detector tests never work,lie detector tests never work,"[0.000031,l],[2.971588,i],[4.193268,e],[4.751160, ],[7.256531,d],[8.193848,e],[8.876953,t],[9.411591,e],[15.036926,c],[15.637695,t],[18.356598,o],[21.906647,r],[23.518890, ],[24.062256,t],[24.349976,e],[28.212006,s],[30.080108,t],[31.090912,s],[32.661987, ],[37.067657,n],[38.991791,e],[44.697968,v],[47.042175,e],[50.213928,r],[52.164642, ],[54.835602,w],[59.180176,o],[62.718292,r],[66.142303,k],[68.415009,done]"
4KWatchWrite,1,3,5,4.948785759,0.058823529,0,16,1,1,0,0,i agree with you,i agree with you,"[0.000031,i],[3.219025, ],[4.720032,a],[8.034821,g],[10.742859,r],[11.525177,e],[11.817383,e],[12.383514, ],[15.852203,w],[19.236206,i],[20.346527,t],[21.139771,h],[22.087585, ],[24.921082,y],[28.087616,o],[33.328857,u],[34.236115, ],[36.372559,del],[37.650940,done]"
4KWatchWrite,1,3,5,4.338690667,0.121212121,0,29,3,3,0,1,please keep this confidential,please keep this confidential,"[0.000031,p],[2.199066,l],[3.044495,e],[3.435913,t],[7.572052,cancel],[10.673767,s],[14.447296,e],[17.200134,del],[19.307037,del],[20.514008,del],[21.844421,a],[24.880402,s],[26.108826,e],[26.859650, ],[30.563110,k],[31.413391,e],[31.755554,e],[35.623718,p],[36.506866, ],[38.263428,t],[39.087372,h],[41.817719,i],[43.359924,s],[44.263641, ],[48.148285,c],[51.063507,o],[54.774231,n],[59.287354,f],[61.761963,i],[64.731628,d],[65.763580,e],[70.078003,n],[71.166016,t],[74.011108,i],[75.263153,a],[77.442719,l],[79.593079,done]"
4KWatchWrite,1,3,5,6.762654839,0,0,34,0,0,0,0,the cat has a pleasant temperament,the cat has a pleasant temperament,"[0.000031,t],[1.013885,h],[1.683350,e],[2.564423, ],[5.771576,c],[6.373077,a],[6.919312,t],[7.973511, ],[10.125977,h],[11.287354,a],[12.444550,s],[13.604858, ],[14.049194,a],[15.269318, ],[19.202820,p],[22.215088,l],[24.296631,e],[24.901001,a],[26.462250,s],[27.739655,a],[30.830322,n],[32.090576,t],[34.032684, ],[34.855713,t],[36.269348,e],[40.058228,m],[44.411194,p],[45.394989,e],[48.052795,r],[50.893066,a],[53.537903,m],[54.275391,e],[57.451843,n],[58.556885,t],[60.460693,done]"
